iter	Passed	Remaining
0	0	84
1	1	76
2	2	78
3	3	79
4	4	80
5	5	80
6	6	81
7	6	80
8	7	80
9	8	80
10	10	81
11	10	79
12	11	78
13	12	77
14	13	75
15	14	75
16	15	74
17	16	73
18	17	72
19	18	72
20	19	71
21	19	70
22	20	69
23	21	67
24	22	66
25	22	65
26	23	64
27	24	63
28	25	61
29	26	60
30	26	59
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	51
40	35	51
41	35	49
42	36	48
43	37	47
44	38	46
45	39	45
46	39	45
47	40	44
48	41	43
49	42	42
50	43	41
51	43	40
52	44	39
53	45	38
54	46	38
55	48	37
56	49	37
57	49	36
58	50	35
59	51	34
60	52	33
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	65	18
78	66	17
79	67	16
80	67	15
81	68	15
82	69	14
83	70	13
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	5
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	83	0
